idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;gid;code_insee;lon;lat
7013;Halle Tony Garnier;8, Avenue Tony Garnier;Angle Rue Pierre Riboulet;Lyon 7e Arrondissement;13;20;;Halle Tony Garnier;True;;244;69387;4.823740406765396;45.7308422388848
3100;Sisley /  Dauphiné;5, Rue Professeur Paul Sisley;;Lyon 3e Arrondissement;100;17;;Jardin public, tramway;True;;114;69383;4.868750600228422;45.752486432190686
4005;Place Bertone;Rue du Chariot d'Or;Place Bertone;Lyon 4e Arrondissement;5;12;;coeur quartier;True;;285;69384;4.834500942111278;45.777617376522315
9014;Quai du Commerce;Face 18, Quai du Commerce;Angle rue Rhin & Danube;Lyon 9e Arrondissement;14;30;;itinéraires cyclables;True;;105;69389;4.810478278467586;45.7820631990779
5026;Rue de la Baleine;13, Quai romain Rolland;angle Rue de la Baleine;Lyon 5e Arrondissement;26;14;;Vieux Lyon;True;;30;69385;4.829011477421789;45.76338371026079
4014;Philippe de Lassalle / Pillement;Face 38, Rue Philippe de Lassalle;angle Rue Pillement;Lyon 4e Arrondissement;14;13;;maillage;True;;203;69384;4.820538470711451;45.77742064795637
3088;Place Guichard;65, Rue Mazenod;;Lyon 3e Arrondissement;88;16;;Métro, tram, palais justice, bourse du travail;True;;248;69383;4.846453225948515;45.75881520506402
4017;Place des tapis;Face 12, Boulevard des Canuts;angle boulevard de la Croix-Rousse;Lyon 4e Arrondissement;17;17;;coeur de quartier;True;;327;69384;4.829621096225884;45.77602649138848
10027;Mairie de Villeurbanne;3, Avenue Aristide Briand;En face de l'entrée de la mairie;Villeurbanne;27;26;;Mairie de Villeurbanne, TNP, itinéraire cyclable;True;;333;69266;4.880115119435788;45.766833142114685
6006;Boulevard des Belges;49, Boulevard des Belges;Face rue Duquenne;Lyon 6e Arrondissement;6;15;;Parc de la Tête d'Or;True;;11;69386;4.851989498915179;45.77332703829208
6012;Place Puvis de Chavannes;Face 5, Place Puvis de Chavannes;Angle rue Vendôme;Lyon 6e Arrondissement;12;10;;;True;;92;69386;4.844603635748358;45.771757085590764
6004;Foch;11, Cours Franklin Roosevelt;Angle rue Vendôme;Lyon 6e Arrondissement;4;20;;métro A, coeur quartier;True;;226;69386;4.844764938842582;45.768851369776705
6020;Musée Guimet;28, Boulevard des Belges;angle Rue Morellet;Lyon 6e Arrondissement;20;15;;musée Guimet, itinéraire cyclable;True;;288;69386;4.848477101851376;45.774504873006585
6003;Avenue Verguin;Face 14, Avenue Verguin;devant l'entrée du parc;Lyon 6e Arrondissement;3;20;;Parc de la Tête d'Or, lycée du Parc;True;;294;69386;4.856326781358822;45.77291139746561
6022;Place Maréchal Lyautey;5-6, Place Maréchal Lyautey;;Lyon 6e Arrondissement;22;20;;;True;;422;69386;4.842317953887165;45.769373057773876
6040;Les Halles;Face 149, Rue Boileau;;Lyon 6e Arrondissement;40;15;; Les halles de Lyon;True;;54;69386;4.849930546075753;45.76405761273627
6001;Gare des Brotteaux;4, Place Jules Ferry;;Lyon 6e Arrondissement;1;16;;Places Jules Ferry, Métro B, Parking, restaurants;True;;75;69386;4.858992167312562;45.76690958028361
3033;OL Vallée Éphémère;10, Avenue Simone Veil;Groupama Stadium;Décines-Charpieu;;21;;Groupama Stadium;True;;432;69275;4.981168666673923;45.76792256108717
8037;Cazeneuve;Face 42, Rue Paul Cazeneuve;Square René Picod;Lyon 8e Arrondissement;37;19;;Quartier d'habitation;True;;136;69388;4.862902379294158;45.73402009181408
8056;Delore / Audibert et Lavirotte;Face 69, Rue Audibert et Lavirotte;;Lyon 8e Arrondissement;56;18;;Maillage;True;;156;69388;4.856812818671199;45.735795232076704
8034;Berthelot / Villon;Face 98, Rue Villon;angle rue Berthelot;Lyon 8e Arrondissement;34;13;;tram;True;;266;69388;4.862732783204483;45.73830233572538
8010;Place Mendès France;95, Avenue de l'Europe;;Lyon 8e Arrondissement;10;20;;Tramway, place, Commerces;True;;279;69388;4.859416412882197;45.74005164652071
9043;Marietton Ouest;Face 77b, Rue Marietton;;Lyon 9e Arrondissement;43;20;;Maillage;True;;7;69389;4.799737660970007;45.776085042893605
9040;Place de la Rhodiacéta;53, Rue Chapeau Rouge;;Lyon 9e Arrondissement;40;12;;ANPE, bureaux, enseignement secondaire;True;;27;69389;4.8075804142518965;45.770990641162186
9020;Bourbonnais;45, Rue du Bourbonnais;angle Rue Docteur Horand et Avenue Georges Masset;Lyon 9e Arrondissement;20;12;;maillage;True;;222;69389;4.800287929393639;45.773464565999284
9044;Masset / Saint-Pierre de Vaise;17, Avenue Joannès Masset;Angle Rue Saint Pierre de Vaise;Lyon 9e Arrondissement;44;16;;Activités, maillage;True;;231;69389;4.800900483241144;45.770476920081926
10018;Tolstoï / Florian;4, Rue Florian;114 Cours Tolstoï;Villeurbanne;18;21;;itinéraire cyclable;True;;361;69266;4.880722404627738;45.761805190347665
6025;Place d'Helvétie;Place d'Helvétie;;Lyon 6e Arrondissement;;30;;Lyon 6ème arrondissement;True;;174;69386;4.841974949018818;45.77328256911876
6024;Tronchet / Anatole France;115, Rue Tronchet;angle rue Anatole France;Lyon 6e Arrondissement;24;10;;Lycée du Parc, piscine Tronchet;True;;49;69386;4.856752177467546;45.77073715464022
10122;Verdun / Desgrand;Face 17, Rue de Verdun;;Villeurbanne;122;21;;Maillage;True;;319;69266;4.89710682743563;45.78399706883832
3019;Vivier Merle / Deruelle;8, Boulevard Vivier Merle;;Lyon 3e Arrondissement;;39;;;True;;404;69383;4.857512154766766;45.763254442033094
10023;Jaurès / Saint Exupéry;54, Rue Jean Jaurès;;Villeurbanne;;25;;;True;Monté;395;69266;4.883437329305556;45.7576238257904
7051;Guillotière / Veyron;241, Grande Rue de la Guillotière;;Lyon 7e Arrondissement;;30;;;True;Monté;409;69387;4.856343254060282;45.747931255081625
10012;Zola / France;230, Cours emile Zola;Angle cours Emile Zola;Villeurbanne;12;16;;IUT maison des sports, maison de l'image, centre culturel;True;;197;69266;4.887138393532365;45.76806160405784
10010;Baudin / Zola;12, Rue Baudin; ;Villeurbanne;49;16;;Collège Les Iris;False;;433;69266;4.905173670535227;45.76505227929627
